study,policy,trial,elapsed,recursive_calls,backtracks,dead_ends,solutions,pruned_states,jumps,depth_reduction,max_depth,status
connectivity,1,0,0.0022621999960392714,301,300,0,0,102,0,0,14,ok
connectivity,1,1,0.0022123000089777634,301,300,0,0,102,0,0,14,ok
connectivity,1,2,0.0022118000051705167,301,300,0,0,102,0,0,14,ok
connectivity,2,0,0.0022926999954506755,431,430,32,0,136,0,0,14,ok
connectivity,2,1,0.002331600000616163,431,430,32,0,136,0,0,14,ok
connectivity,2,2,0.002296800012118183,431,430,32,0,136,0,0,14,ok
connectivity,5,0,0.0023655999975744635,589,588,62,0,98,0,0,14,ok
connectivity,5,1,0.0022192000033101067,589,588,62,0,98,0,0,14,ok
connectivity,5,2,0.002228800003649667,589,588,62,0,98,0,0,14,ok
connectivity,danger,0,0.0029068000003462657,301,300,0,0,102,0,0,14,ok
connectivity,danger,1,0.0028946000093128532,301,300,0,0,102,0,0,14,ok
connectivity,danger,2,0.0029245000041555613,301,300,0,0,102,0,0,14,ok
