study,size,trial,elapsed,recursive_calls,backtracks,dead_ends,solutions,pruned_states,jumps,depth_reduction,max_depth,status
grid_size,4x4,0,0.002921399995102547,1087,1086,208,0,0,0,0,14,ok
grid_size,4x4,1,0.0029280000017024577,1087,1086,208,0,0,0,0,14,ok
grid_size,4x4,2,0.0029111000039847568,1087,1086,208,0,0,0,0,14,ok
grid_size,5x5,0,0.21545859999605455,81703,81702,17716,104,0,0,0,25,ok
grid_size,5x5,1,0.21751590000349097,81703,81702,17716,104,0,0,0,25,ok
grid_size,5x5,2,0.21583169999939855,81703,81702,17716,104,0,0,0,25,ok
grid_size,6x6,0,1.3411102999962168,500000,499999,114864,0,0,0,0,34,node_limit
grid_size,6x6,1,1.3500316999998176,500000,499999,114864,0,0,0,0,34,node_limit
grid_size,6x6,2,1.3633864000003086,500000,499999,114864,0,0,0,0,34,node_limit
grid_size,7x7,0,1.364849299992784,500000,499999,117158,144,0,0,0,49,node_limit
grid_size,7x7,1,1.3817789000022458,500000,499999,117158,144,0,0,0,49,node_limit
grid_size,7x7,2,1.3609645999968052,500000,499999,117158,144,0,0,0,49,node_limit
