study,trial,scramble_depth,beta,elapsed,expanded,solution_length,status
linear_conflict,0,20,1,0.0010199999960605055,73,20,ok
linear_conflict,0,20,2,0.0009411999926669523,73,20,ok
linear_conflict,0,20,3,0.0009431000071344897,73,20,ok
linear_conflict,0,20,4,0.0008167000050889328,73,20,ok
linear_conflict,1,20,1,0.0013402000040514395,120,20,ok
linear_conflict,1,20,2,0.000494699997943826,43,20,ok
linear_conflict,1,20,3,0.000495000000228174,43,20,ok
linear_conflict,1,20,4,0.0008120999991660938,70,20,ok
linear_conflict,2,20,1,0.0002525000018067658,20,10,ok
linear_conflict,2,20,2,0.0002511000056983903,20,10,ok
linear_conflict,2,20,3,0.0002533000078983605,20,10,ok
linear_conflict,2,20,4,0.0002505999873392284,20,10,ok
linear_conflict,3,20,1,0.006613899997319095,598,20,ok
linear_conflict,3,20,2,0.0038512000028276816,327,20,ok
linear_conflict,3,20,3,0.00519900000654161,388,20,ok
linear_conflict,3,20,4,0.00294469999789726,234,20,ok
linear_conflict,4,20,1,0.0016312000079778954,143,20,ok
linear_conflict,4,20,2,0.001055200002156198,93,20,ok
linear_conflict,4,20,3,0.0010572999890428036,93,20,ok
linear_conflict,4,20,4,0.001977400010218844,161,20,ok
