study,depth,trial,algorithm,elapsed,expanded,solution_length,peak_open_size,status
scramble_depth,5,0,IDA*,6.16999896010384e-05,11,5,,ok
scramble_depth,5,0,BFS,0.0004288000054657459,116,5,125,ok
scramble_depth,5,1,IDA*,3.640000068116933e-05,7,5,,ok
scramble_depth,5,1,BFS,0.00016920000780373812,84,5,92,ok
scramble_depth,5,2,IDA*,3.309999010525644e-05,7,5,,ok
scramble_depth,5,2,BFS,0.00016599999798927456,84,5,92,ok
scramble_depth,5,3,IDA*,5.539999983739108e-05,14,5,,ok
scramble_depth,5,3,BFS,0.00023870001314207911,119,5,131,ok
scramble_depth,5,4,IDA*,4.049998824484646e-05,9,5,,ok
scramble_depth,5,4,BFS,0.00013280000712256879,66,5,77,ok
scramble_depth,10,0,IDA*,0.00010570000449661165,27,10,,ok
scramble_depth,10,0,BFS,0.013754700004938059,5281,10,5416,ok
scramble_depth,10,1,IDA*,0.00018940000154543668,48,10,,ok
scramble_depth,10,1,BFS,0.012913800004753284,5520,10,5596,ok
scramble_depth,10,2,IDA*,6.769999163225293e-05,16,10,,ok
scramble_depth,10,2,BFS,0.0056570000015199184,2454,10,2576,ok
scramble_depth,10,3,IDA*,0.000109500004327856,27,10,,ok
scramble_depth,10,3,BFS,0.009414699990884401,4080,10,4135,ok
scramble_depth,10,4,IDA*,6.380000559147447e-05,15,10,,ok
scramble_depth,10,4,BFS,0.007088300000759773,3062,10,3215,ok
scramble_depth,20,0,IDA*,0.00041449999844189733,106,16,,ok
scramble_depth,20,0,BFS,0.70826900000975,254311,16,242853,ok
scramble_depth,20,1,IDA*,0.00018859999545384198,44,16,,ok
scramble_depth,20,1,BFS,0.6068502999987686,224866,16,215568,ok
scramble_depth,20,2,IDA*,0.0007859999896027148,185,14,,ok
scramble_depth,20,2,BFS,0.21088810000219382,75535,14,73810,ok
scramble_depth,20,3,IDA*,0.003710999997565523,957,20,,ok
scramble_depth,20,3,BFS,1.401210899988655,500000,,472634,node_limit
scramble_depth,20,4,IDA*,0.00014409999130293727,31,20,,ok
scramble_depth,20,4,BFS,1.4012861000082921,500000,,472855,node_limit
scramble_depth,50,0,IDA*,0.049387999999453314,12942,26,,ok
scramble_depth,50,0,BFS,1.4113209999923129,500000,,472634,node_limit
scramble_depth,50,1,IDA*,0.047611300004064105,12540,28,,ok
scramble_depth,50,1,BFS,1.4146768000064185,500000,,472554,node_limit
scramble_depth,50,2,IDA*,0.1803074000054039,47332,34,,ok
scramble_depth,50,2,BFS,1.4149444999929983,500000,,472855,node_limit
scramble_depth,50,3,IDA*,0.6561599999986356,170997,34,,ok
scramble_depth,50,3,BFS,1.4287861000047997,500000,,472554,node_limit
scramble_depth,50,4,IDA*,1.9506586000061361,500000,,,node_limit
scramble_depth,50,4,BFS,1.543275399992126,500000,,472041,node_limit
