study,alpha,trial,elapsed,recursive_calls,backtracks,dead_ends,solutions,pruned_states,jumps,depth_reduction,max_depth,status
warnsdorff,0.0,0,0.0029630999924847856,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.0,1,0.0030753000028198585,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.0,2,0.002954800002044067,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.1,0,0.0031604000105289742,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.1,1,0.003133000005618669,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.1,2,0.003129899996565655,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.5,0,0.003146500006550923,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.5,1,0.0033705999958328903,1087,1086,208,0,0,0,0,14,ok
warnsdorff,0.5,2,0.0031267999875126407,1087,1086,208,0,0,0,0,14,ok
warnsdorff,1.0,0,0.0031281999981729314,1087,1086,208,0,0,0,0,14,ok
warnsdorff,1.0,1,0.003247199987526983,1087,1086,208,0,0,0,0,14,ok
warnsdorff,1.0,2,0.0032088000007206574,1087,1086,208,0,0,0,0,14,ok
warnsdorff,2.0,0,0.0031091999990167096,1087,1086,208,0,0,0,0,14,ok
warnsdorff,2.0,1,0.003118900000117719,1087,1086,208,0,0,0,0,14,ok
warnsdorff,2.0,2,0.003129699995042756,1087,1086,208,0,0,0,0,14,ok
