study,trial,scramble_depth,w,elapsed,expanded,solution_length,optimal_length,optimality,status
weighted_manhattan,0,20,0.5,0.18834009999409318,48487,20,20,1.0,ok
weighted_manhattan,0,20,1.0,0.00032049999572336674,79,20,20,1.0,ok
weighted_manhattan,0,20,1.5,0.001960599998710677,510,20,20,1.0,ok
weighted_manhattan,0,20,2.0,0.040329999988898635,10470,28,20,1.4,ok
weighted_manhattan,0,20,3.0,0.04232530000444967,11104,44,20,2.2,ok
weighted_manhattan,1,20,0.5,0.2819921000045724,73335,20,20,1.0,ok
weighted_manhattan,1,20,1.0,0.0006197999900905415,159,20,20,1.0,ok
weighted_manhattan,1,20,1.5,0.003067199999350123,793,20,20,1.0,ok
weighted_manhattan,1,20,2.0,0.007317200012039393,1868,30,20,1.5,ok
weighted_manhattan,1,20,3.0,0.002023299995926209,532,36,20,1.8,ok
weighted_manhattan,2,20,0.5,0.0023923999979160726,626,10,10,1.0,ok
weighted_manhattan,2,20,1.0,7.789999654050916e-05,20,10,10,1.0,ok
weighted_manhattan,2,20,1.5,0.00014960000407882035,39,10,10,1.0,ok
weighted_manhattan,2,20,2.0,0.00029689999064430594,76,10,10,1.0,ok
weighted_manhattan,2,20,3.0,0.0005416000058175996,143,16,10,1.6,ok
weighted_manhattan,3,20,0.5,0.4317066999938106,111241,20,20,1.0,ok
weighted_manhattan,3,20,1.0,0.002152500004740432,530,20,20,1.0,ok
weighted_manhattan,3,20,1.5,0.0034903000050690025,870,20,20,1.0,ok
weighted_manhattan,3,20,2.0,0.00047959999938029796,121,20,20,1.0,ok
weighted_manhattan,3,20,3.0,0.00250909999886062,626,28,20,1.4,ok
weighted_manhattan,4,20,0.5,0.24445230000128504,62388,20,20,1.0,ok
weighted_manhattan,4,20,1.0,0.0009808000031625852,251,20,20,1.0,ok
weighted_manhattan,4,20,1.5,0.0055041000014171,1437,20,20,1.0,ok
weighted_manhattan,4,20,2.0,0.005460599990328774,1439,28,20,1.4,ok
weighted_manhattan,4,20,3.0,0.008899899999960326,2321,32,20,1.6,ok
